shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
shift,edge,topk,window,hidden,MAE,STD,sMAPE
